fan,status,occupation,eyes,face,test,test_eyes
hf,hs,lawyer,Aligned_C2_137.jpg,Aligned_Exemplar_C2_008.jpg,new,Aligned_C2_152.jpg
lf,hs,doctor,Aligned_C2_216.jpg,Aligned_261_0_C1.jpg,old,Aligned_261_0_C1.jpg
hf,ls,maid,Aligned_287_0_C1.jpg,Aligned_C2_042.jpg,old,Aligned_287_0_C1.jpg
hf,hs,doctor,Aligned_291_0_C1.jpg,Aligned_C2_286.jpg,old,Aligned_291_0_C1.jpg
lf,hs,CEO,Aligned_Cropped_New_20.jpg,Aligned_C2_007.jpg,new,Aligned_C2_216.jpg
hf,hs,CEO,Aligned_C2_021.jpg,Aligned_C2_006.jpg,new,Aligned_C2_286.jpg
lf,hs,CEO,Aligned_Cropped_12.jpg,Aligned_C2_216.jpg,old,Aligned_C2_216.jpg
hf,hs,CEO,Aligned_C2_286.jpg,Aligned_040_0_C1.jpg,old,Aligned_C2_286.jpg
hf,hs,lawyer,Aligned_C2_152.jpg,Aligned_C2_153.jpg,new,Aligned_C2_137.jpg
hf,ls,secretary,Aligned_Cropped_New_11.jpg,Aligned_Cropped_New_16.jpg,new,Aligned_C2_054.jpg
hf,ls,nanny,Aligned_C2_131.jpg,Aligned_C2_181.jpg,new,Aligned_C2_256.jpg
hf,hs,CEO,Aligned_C2_021.jpg,Aligned_C2_301.jpg,new,Aligned_C2_286.jpg
hf,hs,lawyer,Aligned_C2_137.jpg,Aligned_C2_030.jpg,old,Aligned_C2_137.jpg
hf,ls,maid,Aligned_Cropped_New_17.jpg,Aligned_062_0_C1.jpg,old,Aligned_Cropped_New_17.jpg
hf,hs,doctor,Aligned_C2_037.jpg,Aligned_277_0_C1.jpg,new,Aligned_291_0_C1.jpg
hf,ls,nanny,Aligned_C2_131.jpg,Aligned_C2_219.jpg,new,Aligned_C2_256.jpg
hf,hs,doctor,Aligned_291_0_C1.jpg,Aligned_C2_137.jpg,new,Aligned_C2_037.jpg
hf,ls,bus driver,Aligned_288_0_C1.jpg,Aligned_C2_025.jpg,old,Aligned_288_0_C1.jpg
lf,hs,professor,Aligned_184_0_C1.jpg,Aligned_Cropped_12.jpg,old,Aligned_Cropped_12.jpg
hf,ls,secretary,Aligned_C2_054.jpg,Aligned_C2_097.jpg,new,Aligned_Cropped_New_11.jpg
hf,ls,secretary,Aligned_C2_054.jpg,Aligned_C2_201.jpg,old,Aligned_C2_054.jpg
hf,hs,doctor,Aligned_C2_037.jpg,Aligned_034_0_C1.jpg,new,Aligned_291_0_C1.jpg
hf,hs,lawyer,Aligned_C2_152.jpg,Aligned_C2_296.jpg,old,Aligned_C2_152.jpg
