stim_id,fan,status,occupation,eyes,face,test,test_eyes
0,lf,hs,doctor,Aligned_Cropped_New_22.jpg,Aligned_C2_085.jpg,old,Aligned_Cropped_New_22.jpg
1,lf,hs,doctor,Aligned_C2_265.jpg,Aligned_C2_304.jpg,new,Aligned_Cropped_New_22.jpg
2,lf,hs,lawyer,Aligned_C2_085.jpg,Aligned_C2_054.jpg,old,Aligned_C2_085.jpg
3,lf,hs,lawyer,Aligned_C2_304.jpg,Aligned_C2_210.jpg,new,Aligned_C2_085.jpg
4,lf,hs,professor,Aligned_C2_054.jpg,Aligned_C2_296.jpg,old,Aligned_C2_054.jpg
5,lf,hs,professor,Aligned_C2_210.jpg,Aligned_C2_059.jpg,new,Aligned_C2_054.jpg
6,lf,hs,CEO,Aligned_C2_296.jpg,Aligned_Cropped_New_22.jpg,old,Aligned_C2_296.jpg
7,lf,hs,CEO,Aligned_C2_059.jpg,Aligned_C2_265.jpg,new,Aligned_C2_296.jpg
8,lf,ls,maid,Aligned_261_0_C1.jpg,Aligned_184_0_C1.jpg,old,Aligned_261_0_C1.jpg
9,lf,ls,maid,Aligned_Cropped_69.jpg,Aligned_C2_214.jpg,new,Aligned_261_0_C1.jpg
10,lf,ls,nanny,Aligned_184_0_C1.jpg,Aligned_C2_216.jpg,old,Aligned_184_0_C1.jpg
11,lf,ls,nanny,Aligned_C2_214.jpg,Aligned_C2_254.jpg,new,Aligned_184_0_C1.jpg
12,lf,ls,bus driver,Aligned_C2_216.jpg,Aligned_118_0_C1.jpg,old,Aligned_C2_216.jpg
13,lf,ls,bus driver,Aligned_C2_254.jpg,Aligned_C2_021.jpg,new,Aligned_C2_216.jpg
14,lf,ls,secretary,Aligned_118_0_C1.jpg,Aligned_261_0_C1.jpg,old,Aligned_118_0_C1.jpg
15,lf,ls,secretary,Aligned_C2_021.jpg,Aligned_Cropped_69.jpg,new,Aligned_118_0_C1.jpg
16,hf,hs,doctor,Aligned_215_0_C1.jpg,Aligned_C2_028.jpg,old,Aligned_110_0_C1.jpg
17,hf,hs,doctor,Aligned_215_0_C1.jpg,Aligned_C2_234.jpg,old,Aligned_110_0_C1.jpg
18,hf,hs,doctor,Aligned_215_0_C1.jpg,Aligned_C2_025.jpg,old,Aligned_110_0_C1.jpg
19,hf,hs,doctor,Aligned_215_0_C1.jpg,Aligned_110_0_C1.jpg,new,Aligned_215_0_C1.jpg
20,hf,hs,doctor,Aligned_215_0_C1.jpg,Aligned_C2_219.jpg,new,Aligned_215_0_C1.jpg
21,hf,hs,doctor,Aligned_215_0_C1.jpg,Aligned_Cropped_New_8.jpg,new,Aligned_215_0_C1.jpg
22,hf,hs,lawyer,Aligned_C2_028.jpg,Aligned_299_0_C1.jpg,old,Aligned_C2_219.jpg
23,hf,hs,lawyer,Aligned_C2_028.jpg,Aligned_Cropped_8.jpg,old,Aligned_C2_219.jpg
24,hf,hs,lawyer,Aligned_C2_028.jpg,Aligned_Cropped_New_14.jpg,old,Aligned_C2_219.jpg
25,hf,hs,lawyer,Aligned_C2_028.jpg,Aligned_Cropped_New_11.jpg,new,Aligned_C2_028.jpg
26,hf,hs,lawyer,Aligned_C2_028.jpg,Aligned_C2_033.jpg,new,Aligned_C2_028.jpg
27,hf,hs,lawyer,Aligned_C2_028.jpg,Aligned_130_0_C1.jpg,new,Aligned_C2_028.jpg
28,hf,hs,professor,Aligned_C2_234.jpg,Aligned_Cropped_New_1.jpg,old,Aligned_Cropped_New_8.jpg
29,hf,hs,professor,Aligned_C2_234.jpg,Aligned_C2_007.jpg,old,Aligned_Cropped_New_8.jpg
30,hf,hs,professor,Aligned_C2_234.jpg,Aligned_Cropped_New_16.jpg,old,Aligned_Cropped_New_8.jpg
31,hf,hs,professor,Aligned_C2_234.jpg,Aligned_C2_160.jpg,new,Aligned_C2_234.jpg
32,hf,hs,professor,Aligned_C2_234.jpg,Aligned_Cropped_New_12.jpg,new,Aligned_C2_234.jpg
33,hf,hs,professor,Aligned_C2_234.jpg,Aligned_Cropped_New_18.jpg,new,Aligned_C2_234.jpg
34,hf,hs,CEO,Aligned_C2_025.jpg,Aligned_C2_152.jpg,old,Aligned_299_0_C1.jpg
35,hf,hs,CEO,Aligned_C2_025.jpg,Aligned_C2_135.jpg,old,Aligned_299_0_C1.jpg
36,hf,hs,CEO,Aligned_C2_025.jpg,Aligned_Cropped_77.jpg,old,Aligned_299_0_C1.jpg
37,hf,hs,CEO,Aligned_C2_025.jpg,Aligned_C2_286.jpg,new,Aligned_C2_025.jpg
38,hf,hs,CEO,Aligned_C2_025.jpg,Aligned_C2_037.jpg,new,Aligned_C2_025.jpg
39,hf,hs,CEO,Aligned_C2_025.jpg,Aligned_C2_301.jpg,new,Aligned_C2_025.jpg
40,hf,hs,doctor,Aligned_110_0_C1.jpg,Aligned_C2_089.jpg,old,Aligned_215_0_C1.jpg
41,hf,hs,doctor,Aligned_110_0_C1.jpg,Aligned_C2_072.jpg,old,Aligned_215_0_C1.jpg
42,hf,hs,doctor,Aligned_110_0_C1.jpg,Aligned_Cropped_10.jpg,old,Aligned_215_0_C1.jpg
43,hf,hs,doctor,Aligned_110_0_C1.jpg,Aligned_Cropped_New_13.jpg,new,Aligned_110_0_C1.jpg
44,hf,hs,doctor,Aligned_110_0_C1.jpg,Aligned_C2_217.jpg,new,Aligned_110_0_C1.jpg
45,hf,hs,doctor,Aligned_110_0_C1.jpg,Aligned_C2_143.jpg,new,Aligned_110_0_C1.jpg
46,hf,hs,lawyer,Aligned_C2_219.jpg,Aligned_124_0_C1.jpg,old,Aligned_C2_028.jpg
47,hf,hs,lawyer,Aligned_C2_219.jpg,Aligned_Cropped_New_17.jpg,old,Aligned_C2_028.jpg
48,hf,hs,lawyer,Aligned_C2_219.jpg,Aligned_C2_009.jpg,old,Aligned_C2_028.jpg
49,hf,hs,lawyer,Aligned_C2_219.jpg,Aligned_C2_094.jpg,new,Aligned_C2_219.jpg
50,hf,hs,lawyer,Aligned_C2_219.jpg,Aligned_180_0_C1.jpg,new,Aligned_C2_219.jpg
51,hf,hs,lawyer,Aligned_C2_219.jpg,Aligned_C2_168.jpg,new,Aligned_C2_219.jpg
52,hf,hs,professor,Aligned_Cropped_New_8.jpg,Aligned_C2_060.jpg,old,Aligned_C2_234.jpg
53,hf,hs,professor,Aligned_Cropped_New_8.jpg,Aligned_C2_132.jpg,old,Aligned_C2_234.jpg
54,hf,hs,professor,Aligned_Cropped_New_8.jpg,Aligned_C2_290.jpg,old,Aligned_C2_234.jpg
55,hf,hs,professor,Aligned_Cropped_New_8.jpg,Aligned_C2_300.jpg,new,Aligned_Cropped_New_8.jpg
56,hf,hs,professor,Aligned_Cropped_New_8.jpg,Aligned_Cropped_New_9.jpg,new,Aligned_Cropped_New_8.jpg
57,hf,hs,professor,Aligned_Cropped_New_8.jpg,Aligned_178_0_C1.jpg,new,Aligned_Cropped_New_8.jpg
58,hf,hs,CEO,Aligned_299_0_C1.jpg,Aligned_C2_131.jpg,old,Aligned_C2_025.jpg
59,hf,hs,CEO,Aligned_299_0_C1.jpg,Aligned_C2_137.jpg,old,Aligned_C2_025.jpg
60,hf,hs,CEO,Aligned_299_0_C1.jpg,Aligned_C2_098.jpg,old,Aligned_C2_025.jpg
61,hf,hs,CEO,Aligned_299_0_C1.jpg,Aligned_C2_235.jpg,new,Aligned_299_0_C1.jpg
62,hf,hs,CEO,Aligned_299_0_C1.jpg,Aligned_294_0_C1.jpg,new,Aligned_299_0_C1.jpg
63,hf,hs,CEO,Aligned_299_0_C1.jpg,Aligned_215_0_C1.jpg,new,Aligned_299_0_C1.jpg
64,hf,ls,maid,Aligned_034_0_C1.jpg,Aligned_C2_071.jpg,old,Aligned_Cropped_New_15.jpg
65,hf,ls,maid,Aligned_034_0_C1.jpg,Aligned_288_0_C1.jpg,old,Aligned_Cropped_New_15.jpg
66,hf,ls,maid,Aligned_034_0_C1.jpg,Aligned_C2_030.jpg,old,Aligned_Cropped_New_15.jpg
